Question,Answer,Metadata
Which Sandbox tests are available with the auto-approval subscription?,Loan API ProductsPersonal Loans 1.0.0 (Subscription auto approved)Auto Loans ETB1.0. (Subscription auto approved)<br>Payment API productUPI2.0.0 (Subscription auto approved)Bill Payments1.0.0 (Subscription auto approved)<br>Accounts API productsLien Services1.0.0 (Subscription auto approved)Collateral Services1.0.0 (Subscription auto approved)Cheque Services1.0.0 (Subscription auto approved)Beneficiary Services1.0.0 (Subscription auto approved)<br>Cards API productsInquiry and Top-up1.0.0 (Subscription auto approved)Card inquiries/update1.0.0 (Subscription auto approved)<br>Credit Cards2.0.0 API productCredit Card Additional APIs1.0.3 (Subscription auto approved),
How do I use the Sandbox test with auto-approval?,Loan API ProductsPersonal Loans 1.0.0 (Subscription auto approved)Auto Loans ETB1.0. (Subscription auto approved)<br>Payment API productUPI2.0.0 (Subscription auto approved)Bill Payments1.0.0 (Subscription auto approved)<br>Accounts API productsLien Services1.0.0 (Subscription auto approved)Collateral Services1.0.0 (Subscription auto approved)Cheque Services1.0.0 (Subscription auto approved)Beneficiary Services1.0.0 (Subscription auto approved)<br>Cards API productsInquiry and Top-up1.0.0 (Subscription auto approved)Card inquiries/update1.0.0 (Subscription auto approved)<br>Credit Cards2.0.0 API productCredit Card Additional APIs1.0.4 (Subscription auto approved),
Sandbox tests that are available with a subscription that is automatically approved,Loan API ProductsPersonal Loans 1.0.0 (Subscription auto approved)Auto Loans ETB1.0. (Subscription auto approved)<br>Payment API productUPI2.0.0 (Subscription auto approved)Bill Payments1.0.0 (Subscription auto approved)<br>Accounts API productsLien Services1.0.0 (Subscription auto approved)Collateral Services1.0.0 (Subscription auto approved)Cheque Services1.0.0 (Subscription auto approved)Beneficiary Services1.0.0 (Subscription auto approved)<br>Cards API productsInquiry and Top-up1.0.0 (Subscription auto approved)Card inquiries/update1.0.0 (Subscription auto approved)<br>Credit Cards2.0.0 API productCredit Card Additional APIs1.0.5 (Subscription auto approved),
Can I get Sandbox tests with auto-approval of my subscription?,Loan API ProductsPersonal Loans 1.0.0 (Subscription auto approved)Auto Loans ETB1.0. (Subscription auto approved)<br>Payment API productUPI2.0.0 (Subscription auto approved)Bill Payments1.0.0 (Subscription auto approved)<br>Accounts API productsLien Services1.0.0 (Subscription auto approved)Collateral Services1.0.0 (Subscription auto approved)Cheque Services1.0.0 (Subscription auto approved)Beneficiary Services1.0.0 (Subscription auto approved)<br>Cards API productsInquiry and Top-up1.0.0 (Subscription auto approved)Card inquiries/update1.0.0 (Subscription auto approved)<br>Credit Cards2.0.0 API productCredit Card Additional APIs1.0.6 (Subscription auto approved),
How do you access the Sandbox tests with the auto-approved subscription?,Loan API ProductsPersonal Loans 1.0.0 (Subscription auto approved)Auto Loans ETB1.0. (Subscription auto approved)<br>Payment API productUPI2.0.0 (Subscription auto approved)Bill Payments1.0.0 (Subscription auto approved)<br>Accounts API productsLien Services1.0.0 (Subscription auto approved)Collateral Services1.0.0 (Subscription auto approved)Cheque Services1.0.0 (Subscription auto approved)Beneficiary Services1.0.0 (Subscription auto approved)<br>Cards API productsInquiry and Top-up1.0.0 (Subscription auto approved)Card inquiries/update1.0.0 (Subscription auto approved)<br>Credit Cards2.0.0 API productCredit Card Additional APIs1.0.7 (Subscription auto approved),
What Sandbox tests are available with auto-approved subscriptions,Loan API ProductsPersonal Loans 1.0.0 (Subscription auto approved)Auto Loans ETB1.0. (Subscription auto approved)<br>Payment API productUPI2.0.0 (Subscription auto approved)Bill Payments1.0.0 (Subscription auto approved)<br>Accounts API productsLien Services1.0.0 (Subscription auto approved)Collateral Services1.0.0 (Subscription auto approved)Cheque Services1.0.0 (Subscription auto approved)Beneficiary Services1.0.0 (Subscription auto approved)<br>Cards API productsInquiry and Top-up1.0.0 (Subscription auto approved)Card inquiries/update1.0.0 (Subscription auto approved)<br>Credit Cards2.0.0 API productCredit Card Additional APIs1.0.8 (Subscription auto approved),
What are the Endpoints URL, https://apiportal.axisbank.com/gatewayhttps://192.168.131.62/axis/sandbox,
Can you tell me what the URLs are for the endpoints?, https://apiportal.axisbank.com/gatewayhttps://192.168.131.63/axis/sandbox,
How do I find the endpoint URLs?, https://apiportal.axisbank.com/gatewayhttps://192.168.131.64/axis/sandbox,
Endpoint URLs: what are they?, https://apiportal.axisbank.com/gatewayhttps://192.168.131.65/axis/sandbox,
Where are the URLs for the Endpoints?, https://apiportal.axisbank.com/gatewayhttps://192.168.131.66/axis/sandbox,
What is the URL for the endpoints?, https://apiportal.axisbank.com/gatewayhttps://192.168.131.67/axis/sandbox,
The URLs of the endpoints are what?, https://apiportal.axisbank.com/gatewayhttps://192.168.131.68/axis/sandbox,
Which URLs are associated with endpoints?, https://apiportal.axisbank.com/gatewayhttps://192.168.131.69/axis/sandbox,
Are there any endpoints URLs?, https://apiportal.axisbank.com/gatewayhttps://192.168.131.70/axis/sandbox,
In what format are the Endpoint URLs listed?, https://apiportal.axisbank.com/gatewayhttps://192.168.131.71/axis/sandbox,
Could you please tell me what the endpoint URLs are?, https://apiportal.axisbank.com/gatewayhttps://192.168.131.72/axis/sandbox,
What is the journey  to go live?," Sandbox < UAT < ProductionAccess to UAT &amp; Production environment is subject to business approvals, NDA and other agreements, and is a sole discretion of Bank.",
What are the Requirement to access Production environment.\nWhat are the Requirement to access UAT,"Need to put a request on email with below details:Customer need to provide IP for Whitelisting, Authentication formalities over emailSecurity key, env. Access is only enabled once the physical / legal document I created &amp; submitted.",
Is Sandbox customer data real?,"No, the data in the Sandbox is all test data and does not contain any real HSBC Customer or Legal Entity data. The Sandbox data is used to provide a sample of what can be expected from the Live environment to provide a valid test for your applications."
How to check if any support ticket is raised?,Click on ID at the top right corner < Click on My account < Click view recent ticket
How do I keep up to date with latest developments of API Developer Portal?,To keep you updated with latest developments Axis Bank API Developer portal sends regular notifications to all registered customers. You may opt in to receive notifications by navigating to My account > Edit > Enable notifications check box > Save
